,Side,Type,Metric,Value
147,head,realistic,arithmetic_mean_rank,2785.76513671875
148,tail,realistic,arithmetic_mean_rank,185.53297424316406
149,both,realistic,arithmetic_mean_rank,1485.6490478515625
150,head,pessimistic,arithmetic_mean_rank,2785.765784114053
151,tail,pessimistic,arithmetic_mean_rank,185.53302298516147
152,both,pessimistic,arithmetic_mean_rank,1485.6494035496073
153,head,optimistic,median_absolute_deviation,2129.0167857740444
154,tail,optimistic,median_absolute_deviation,11.860817748044816
155,both,optimistic,median_absolute_deviation,246.11196827192992
156,head,realistic,median_absolute_deviation,2129.0167857740444
157,tail,realistic,median_absolute_deviation,11.860817748044816
158,both,realistic,median_absolute_deviation,246.11196827192992
159,head,pessimistic,median_absolute_deviation,2129.0167857740444
160,tail,pessimistic,median_absolute_deviation,11.860817748044816
161,both,pessimistic,median_absolute_deviation,246.11196827192992
162,head,optimistic,z_inverse_harmonic_mean_rank,158.30771879605328
163,tail,optimistic,z_inverse_harmonic_mean_rank,3188.169873005642
164,both,optimistic,z_inverse_harmonic_mean_rank,2329.3705298837576
165,head,realistic,z_inverse_harmonic_mean_rank,158.30771383087165
166,tail,realistic,z_inverse_harmonic_mean_rank,3188.1697085170413
167,both,realistic,z_inverse_harmonic_mean_rank,2329.3705728696764
168,head,pessimistic,z_inverse_harmonic_mean_rank,158.30770589991485
169,tail,pessimistic,z_inverse_harmonic_mean_rank,3188.169873000534
170,both,pessimistic,z_inverse_harmonic_mean_rank,2329.3705206068053
171,head,optimistic,hits_at_1,0.007758704296382504
172,tail,optimistic,hits_at_1,0.2024051983318786
173,both,optimistic,hits_at_1,0.10508195131413053
174,head,realistic,hits_at_1,0.007758704296382504
175,tail,realistic,hits_at_1,0.2024051983318786
176,both,realistic,hits_at_1,0.10508195131413053
177,head,pessimistic,hits_at_1,0.007758704296382504
178,tail,pessimistic,hits_at_1,0.2024051983318786
179,both,pessimistic,hits_at_1,0.10508195131413053
180,head,optimistic,hits_at_3,0.014353602948307632
181,tail,optimistic,hits_at_3,0.34681408204829794
182,both,optimistic,hits_at_3,0.18058384249830278
183,head,realistic,hits_at_3,0.014353602948307632
184,tail,realistic,hits_at_3,0.34681408204829794
185,both,realistic,hits_at_3,0.18058384249830278
186,head,pessimistic,hits_at_3,0.014353602948307632
187,tail,pessimistic,hits_at_3,0.34681408204829794
188,both,pessimistic,hits_at_3,0.18058384249830278
189,head,optimistic,hits_at_5,0.019008825526137134
190,tail,optimistic,hits_at_5,0.4231403355639608
191,both,optimistic,hits_at_5,0.22107458054504897
192,head,realistic,hits_at_5,0.019008825526137134
