,Side,Type,Metric,Value
171,head,optimistic,hits_at_1,0.030634573304157548
172,tail,optimistic,hits_at_1,0.09737417943107221
173,both,optimistic,hits_at_1,0.06400437636761488
174,head,realistic,hits_at_1,0.030634573304157548
175,tail,realistic,hits_at_1,0.09737417943107221
176,both,realistic,hits_at_1,0.06400437636761488
177,head,pessimistic,hits_at_1,0.030634573304157548
178,tail,pessimistic,hits_at_1,0.09737417943107221
179,both,pessimistic,hits_at_1,0.06400437636761488
180,head,optimistic,hits_at_3,0.08041575492341356
181,tail,optimistic,hits_at_3,0.21936542669584244
182,both,optimistic,hits_at_3,0.14989059080962802
183,head,realistic,hits_at_3,0.08041575492341356
184,tail,realistic,hits_at_3,0.21936542669584244
185,both,realistic,hits_at_3,0.14989059080962802
186,head,pessimistic,hits_at_3,0.08041575492341356
187,tail,pessimistic,hits_at_3,0.21936542669584244
188,both,pessimistic,hits_at_3,0.14989059080962802
189,head,optimistic,hits_at_5,0.11542669584245077
190,tail,optimistic,hits_at_5,0.30306345733041573
191,both,optimistic,hits_at_5,0.20924507658643327
192,head,realistic,hits_at_5,0.11542669584245077
193,tail,realistic,hits_at_5,0.30306345733041573
194,both,realistic,hits_at_5,0.20924507658643327
195,head,pessimistic,hits_at_5,0.11542669584245077
196,tail,pessimistic,hits_at_5,0.30306345733041573
197,both,pessimistic,hits_at_5,0.20924507658643327
198,head,optimistic,hits_at_10,0.19146608315098468
199,tail,optimistic,hits_at_10,0.4234135667396061
200,both,optimistic,hits_at_10,0.3074398249452954
201,head,realistic,hits_at_10,0.19146608315098468
202,tail,realistic,hits_at_10,0.4234135667396061
203,both,realistic,hits_at_10,0.3074398249452954
204,head,pessimistic,hits_at_10,0.19146608315098468
205,tail,pessimistic,hits_at_10,0.4234135667396061
206,both,pessimistic,hits_at_10,0.3074398249452954
207,head,optimistic,z_hits_at_k,107.82929221616872
208,tail,optimistic,z_hits_at_k,254.73949829827686
209,both,optimistic,z_hits_at_k,253.76247519455083
210,head,realistic,z_hits_at_k,107.82929221616872
211,tail,realistic,z_hits_at_k,254.73949829827686
212,both,realistic,z_hits_at_k,253.76247519455083
213,head,pessimistic,z_hits_at_k,107.82929221616872
214,tail,pessimistic,z_hits_at_k,254.73949829827686
215,both,pessimistic,z_hits_at_k,253.76247519455083
216,head,optimistic,adjusted_hits_at_k,0.18701959829687564
217,tail,optimistic,adjusted_hits_at_k,0.4205410312293983
218,both,optimistic,adjusted_hits_at_k,0.30381036750954415
219,head,realistic,adjusted_hits_at_k,0.18701959829687564
220,tail,realistic,adjusted_hits_at_k,0.4205410312293983
221,both,realistic,adjusted_hits_at_k,0.30381036750954415
222,head,pessimistic,adjusted_hits_at_k,0.18701959829687564
223,tail,pessimistic,adjusted_hits_at_k,0.4205410312293983
224,both,pessimistic,adjusted_hits_at_k,0.30381036750954415
